"filename", "language", "JavaScript", "JavaScript JSX", "CSS", "TypeScript", "TypeScript JSX", "XML", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\New\Desktop\Personal Diary\frontend\eslint.config.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 2, 34
"c:\Users\New\Desktop\Personal Diary\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 12, 0, 1, 13
"c:\Users\New\Desktop\Personal Diary\frontend\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 4463, 0, 0, 1, 4464
"c:\Users\New\Desktop\Personal Diary\frontend\package.json", "JSON", 0, 0, 0, 0, 0, 0, 41, 0, 0, 1, 42
"c:\Users\New\Desktop\Personal Diary\frontend\public\logo.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\New\Desktop\Personal Diary\frontend\public\logoSmall.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\New\Desktop\Personal Diary\frontend\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\New\Desktop\Personal Diary\frontend\src\App.jsx", "JavaScript JSX", 0, 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\New\Desktop\Personal Diary\frontend\src\components\context\ProfileContext.jsx", "JavaScript JSX", 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\New\Desktop\Personal Diary\frontend\src\components\imageContainer\ImageContainer.jsx", "JavaScript JSX", 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\New\Desktop\Personal Diary\frontend\src\components\imageContainer\imageContainer.css", "CSS", 0, 0, 18, 0, 0, 0, 0, 0, 0, 2, 20
"c:\Users\New\Desktop\Personal Diary\frontend\src\components\template\Headers.jsx", "JavaScript JSX", 0, 90, 0, 0, 0, 0, 0, 0, 0, 7, 97
"c:\Users\New\Desktop\Personal Diary\frontend\src\components\template\SideBar.jsx", "JavaScript JSX", 0, 122, 0, 0, 0, 0, 0, 0, 0, 12, 134
"c:\Users\New\Desktop\Personal Diary\frontend\src\components\template\SideContent.jsx", "JavaScript JSX", 0, 56, 0, 0, 0, 0, 0, 0, 10, 8, 74
"c:\Users\New\Desktop\Personal Diary\frontend\src\components\template\Template.jsx", "JavaScript JSX", 0, 29, 0, 0, 0, 0, 0, 0, 0, 6, 35
"c:\Users\New\Desktop\Personal Diary\frontend\src\components\template\headers.css", "CSS", 0, 0, 21, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\New\Desktop\Personal Diary\frontend\src\components\template\sideBar.css", "CSS", 0, 0, 109, 0, 0, 0, 0, 0, 0, 20, 129
"c:\Users\New\Desktop\Personal Diary\frontend\src\components\template\sideContent.css", "CSS", 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\New\Desktop\Personal Diary\frontend\src\components\template\template.css", "CSS", 0, 0, 20, 0, 0, 0, 0, 0, 0, 5, 25
"c:\Users\New\Desktop\Personal Diary\frontend\src\globalStyles\colorStyle.css", "CSS", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 10
"c:\Users\New\Desktop\Personal Diary\frontend\src\index.css", "CSS", 0, 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\New\Desktop\Personal Diary\frontend\src\main.jsx", "JavaScript JSX", 0, 56, 0, 0, 0, 0, 0, 0, 0, 4, 60
"c:\Users\New\Desktop\Personal Diary\frontend\src\page\createNewPost\CreateNewPost.jsx", "JavaScript JSX", 0, 109, 0, 0, 0, 0, 0, 0, 0, 10, 119
"c:\Users\New\Desktop\Personal Diary\frontend\src\page\editingPageDiary\EditingNewDiary.jsx", "JavaScript JSX", 0, 124, 0, 0, 0, 0, 0, 0, 0, 15, 139
