Date : 2025-06-01 15:47:32
Directory : c:\Users\New\Desktop\Personal Diary\frontend
Total : 75 files,  12896 codes, 35 comments, 418 blanks, all 13349 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JSON           |          3 |      9,274 |          0 |          2 |      9,276 |
| JavaScript JSX |         30 |      2,213 |         19 |        222 |      2,454 |
| PostCSS        |         17 |        763 |          0 |        151 |        914 |
| JavaScript     |         13 |        311 |         16 |         23 |        350 |
| XML            |          5 |        176 |          0 |          5 |        181 |
| TypeScript     |          3 |         86 |          0 |          7 |         93 |
| SCSS           |          1 |         44 |          0 |          6 |         50 |
| TypeScript JSX |          1 |         15 |          0 |          1 |         16 |
| HTML           |          1 |         13 |          0 |          1 |         14 |
| Properties     |          1 |          1 |          0 |          0 |          1 |
+----------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                 | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                    |         75 |     12,896 |         35 |        418 |     13,349 |
| . (Files)                                                                                            |          7 |      9,334 |          1 |          7 |      9,342 |
| public                                                                                               |          5 |        176 |          0 |          5 |        181 |
| src                                                                                                  |         63 |      3,386 |         34 |        406 |      3,826 |
| src (Files)                                                                                          |          4 |        133 |          6 |         15 |        154 |
| src\api                                                                                              |          4 |         97 |          0 |          9 |        106 |
| src\api\config                                                                                       |          1 |         14 |          0 |          3 |         17 |
| src\api\service                                                                                      |          3 |         83 |          0 |          6 |         89 |
| src\components                                                                                       |         24 |      1,179 |          8 |        164 |      1,351 |
| src\components\component                                                                             |          2 |         42 |          0 |          7 |         49 |
| src\components\context                                                                               |          2 |          6 |          0 |          4 |         10 |
| src\components\customList                                                                            |         10 |        415 |          0 |         51 |        466 |
| src\components\imageContainer                                                                        |          2 |         73 |          0 |         11 |         84 |
| src\components\template                                                                              |          8 |        643 |          8 |         91 |        742 |
| src\globalStyles                                                                                     |          2 |         54 |          0 |          1 |         55 |
| src\page                                                                                             |         19 |      1,698 |          5 |        200 |      1,903 |
| src\page\createNewPost                                                                               |          1 |        294 |          0 |         14 |        308 |
| src\page\editingPageDiary                                                                            |          1 |        138 |          0 |         19 |        157 |
| src\page\errorPage                                                                                   |          2 |         49 |          0 |          9 |         58 |
| src\page\loginPage                                                                                   |          2 |        136 |          0 |         11 |        147 |
| src\page\pagesDiary                                                                                  |          2 |        180 |          0 |         42 |        222 |
| src\page\passwordRecoveryPage                                                                        |          2 |        221 |          0 |         21 |        242 |
| src\page\profilePage                                                                                 |          2 |        151 |          0 |         15 |        166 |
| src\page\registrationPage                                                                            |          2 |        306 |          0 |         37 |        343 |
| src\page\securityPage                                                                                |          2 |         60 |          0 |         10 |         70 |
| src\page\settingPage                                                                                 |          2 |         99 |          5 |         10 |        114 |
| src\page\statisticPage                                                                               |          1 |         64 |          0 |         12 |         76 |
| src\utils                                                                                            |         10 |        225 |         15 |         17 |        257 |
| src\utils (Files)                                                                                    |          6 |        124 |         15 |          9 |        148 |
| src\utils\markdown                                                                                   |          4 |        101 |          0 |          8 |        109 |
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                             | language       | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| c:\Users\New\Desktop\Personal Diary\frontend\.env                                                    | Properties     |          1 |          0 |          0 |          1 |
| c:\Users\New\Desktop\Personal Diary\frontend\eslint.config.js                                        | JavaScript     |         32 |          0 |          2 |         34 |
| c:\Users\New\Desktop\Personal Diary\frontend\index.html                                              | HTML           |         13 |          0 |          1 |         14 |
| c:\Users\New\Desktop\Personal Diary\frontend\package-lock.json                                       | JSON           |      9,225 |          0 |          1 |      9,226 |
| c:\Users\New\Desktop\Personal Diary\frontend\package.json                                            | JSON           |         48 |          0 |          1 |         49 |
| c:\Users\New\Desktop\Personal Diary\frontend\public\logo.svg                                         | XML            |          4 |          0 |          1 |          5 |
| c:\Users\New\Desktop\Personal Diary\frontend\public\logoSmall.svg                                    | XML            |          4 |          0 |          1 |          5 |
| c:\Users\New\Desktop\Personal Diary\frontend\public\mooncard.svg                                     | XML            |         80 |          0 |          1 |         81 |
| c:\Users\New\Desktop\Personal Diary\frontend\public\sun.svg                                          | XML            |         23 |          0 |          1 |         24 |
| c:\Users\New\Desktop\Personal Diary\frontend\public\undraw_online_articles.svg                       | XML            |         65 |          0 |          1 |         66 |
| c:\Users\New\Desktop\Personal Diary\frontend\src\App.css                                             | PostCSS        |          0 |          0 |          1 |          1 |
| c:\Users\New\Desktop\Personal Diary\frontend\src\App.jsx                                             | JavaScript JSX |         43 |          0 |          6 |         49 |
| c:\Users\New\Desktop\Personal Diary\frontend\src\api\config\axiosRequest.js                          | JavaScript     |         14 |          0 |          3 |         17 |
| c:\Users\New\Desktop\Personal Diary\frontend\src\api\service\mailService.js                          | JavaScript     |         21 |          0 |          1 |         22 |
| c:\Users\New\Desktop\Personal Diary\frontend\src\api\service\postService.js                          | JavaScript     |         22 |          0 |          3 |         25 |
| c:\Users\New\Desktop\Personal Diary\frontend\src\api\service\userService.js                          | JavaScript     |         40 |          0 |          2 |         42 |
| c:\Users\New\Desktop\Personal Diary\frontend\src\components\component\ModalNotNew.jsx                | JavaScript JSX |         28 |          0 |          4 |         32 |
| c:\Users\New\Desktop\Personal Diary\frontend\src\components\component\NoteEmpty.jsx                  | JavaScript JSX |         14 |          0 |          3 |         17 |
| c:\Users\New\Desktop\Personal Diary\frontend\src\components\context\OpenMenuContext.jsx              | JavaScript JSX |          3 |          0 |          2 |          5 |
| c:\Users\New\Desktop\Personal Diary\frontend\src\components\context\ProfileContext.jsx               | JavaScript JSX |          3 |          0 |          2 |          5 |
| c:\Users\New\Desktop\Personal Diary\frontend\src\components\customList\ListAllPage.jsx               | JavaScript JSX |         14 |          0 |          4 |         18 |
| c:\Users\New\Desktop\Personal Diary\frontend\src\components\customList\ListAllPagePost.jsx           | JavaScript JSX |        208 |          0 |         15 |        223 |
| c:\Users\New\Desktop\Personal Diary\frontend\src\components\customList\ListAllPagePost.scss          | SCSS           |         44 |          0 |          6 |         50 |
| c:\Users\New\Desktop\Personal Diary\frontend\src\components\customList\ListFormEmotionsStatistic.jsx | JavaScript JSX |         19 |          0 |          3 |         22 |
| c:\Users\New\Desktop\Personal Diary\frontend\src\components\customList\ListSearch.jsx                | JavaScript JSX |         22 |          0 |          3 |         25 |
| c:\Users\New\Desktop\Personal Diary\frontend\src\components\customList\ListSideBarTags.jsx           | JavaScript JSX |         18 |          0 |          2 |         20 |
| c:\Users\New\Desktop\Personal Diary\frontend\src\components\customList\ListSideContent.css           | PostCSS        |         25 |          0 |          6 |         31 |
| c:\Users\New\Desktop\Personal Diary\frontend\src\components\customList\ListSideContent.jsx           | JavaScript JSX |         48 |          0 |          9 |         57 |
| c:\Users\New\Desktop\Personal Diary\frontend\src\components\customList\ListTags.jsx                  | JavaScript JSX |         10 |          0 |          2 |         12 |
| c:\Users\New\Desktop\Personal Diary\frontend\src\components\customList\rowNoteCard.css               | PostCSS        |          7 |          0 |          1 |          8 |
| c:\Users\New\Desktop\Personal Diary\frontend\src\components\imageContainer\ImageContainer.jsx        | JavaScript JSX |         14 |          0 |          1 |         15 |
| c:\Users\New\Desktop\Personal Diary\frontend\src\components\imageContainer\imageContainer.css        | PostCSS        |         59 |          0 |         10 |         69 |
| c:\Users\New\Desktop\Personal Diary\frontend\src\components\template\Headers.jsx                     | JavaScript JSX |        108 |          8 |          6 |        122 |
| c:\Users\New\Desktop\Personal Diary\frontend\src\components\template\SideBar.jsx                     | JavaScript JSX |        135 |          0 |         11 |        146 |
| c:\Users\New\Desktop\Personal Diary\frontend\src\components\template\SideContent.jsx                 | JavaScript JSX |         37 |          0 |          6 |         43 |
